,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,3.4418,3.5046,3.5998
APS,5.7656,5.7248,5.6314
SAPS,3.7644,3.7904,4.199
RAPS,4.29,4.3444,4.6286
