,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,0.877,0.877,0.872
APS,0.8736666666666667,0.8813333333333333,0.878
SAPS,0.8846666666666667,0.8836666666666667,0.8756666666666667
RAPS,0.877,0.879,0.8776666666666667
