,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,0.86925,0.86875,0.8645
APS,0.87475,0.87475,0.87075
SAPS,0.86875,0.87025,0.868
RAPS,0.87275,0.87325,0.86925
