,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,2.97925,2.9725,3.1235
APS,5.06225,5.11225,4.9955
SAPS,3.276,3.26375,3.7125
RAPS,4.03225,4.03275,4.0125
