,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,4.374428571428571,4.338857142857143,4.691428571428571
APS,7.433142857142857,7.405,7.501571428571428
SAPS,4.951,5.083571428571428,5.542714285714286
RAPS,5.5042857142857144,5.582571428571429,6.010285714285715
