,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,4.983333333333333,4.9702222222222225,5.376333333333333
APS,8.426,8.230333333333334,8.353555555555555
SAPS,5.703888888888889,5.572,6.341777777777778
RAPS,6.280777777777778,6.172666666666666,6.655555555555556
