,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,0.8755714285714286,0.8737142857142857,0.8734285714285714
APS,0.8772857142857143,0.8781428571428571,0.8832857142857143
SAPS,0.8764285714285714,0.8787142857142857,0.8757142857142857
RAPS,0.8758571428571429,0.8768571428571429,0.8748571428571429
