,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,0.8771666666666667,0.8788333333333334,0.8701666666666666
APS,0.8808333333333334,0.8781666666666667,0.8798333333333334
SAPS,0.877,0.8766666666666667,0.8711666666666666
RAPS,0.8766666666666667,0.8773333333333333,0.874
