,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,6.0148,5.9401,6.4652
APS,9.9199,10.1735,9.9169
SAPS,7.067,7.0735,7.7485
RAPS,8.0054,8.025,8.229
