,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,4.7225,4.73975,4.92825
APS,8.18175,8.383125,7.883
SAPS,5.350625,5.52125,5.867875
RAPS,6.13975,6.14175,6.337625
