,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,4.2555,4.276666666666666,4.450833333333334
APS,6.876166666666666,6.794333333333333,6.922666666666666
SAPS,4.7815,4.7615,5.295
RAPS,5.339166666666666,5.364166666666667,5.856333333333334
