,SplitPredictor,ClusterPredictor,ClassWisePredictor
THR,2.57,2.5676666666666668,2.5643333333333334
APS,3.965,4.050333333333334,3.9133333333333336
SAPS,2.8103333333333333,2.7876666666666665,3.036
RAPS,3.148,3.1643333333333334,3.2776666666666667
